model,numitems,perc,instance,nodes,time,sol
efsll1,5,10,01,2,0.06961308300000002,135.0
efsll1,5,10,02,2,0.04626045799999989,125.0
efsll1,5,10,03,3,0.03756770800000009,151.0
efsll1,5,25,01,268,0.061916042000000004,150.0
efsll1,5,25,02,409,0.06921900000000003,168.0
efsll1,5,25,03,349,0.07213479200000006,174.0
efsll1,5,50,01,480,0.12653749999999997,183.0
efsll1,5,50,02,446,0.08613095800000004,143.0
efsll1,5,50,03,467,0.129656,185.0
efsll1,15,10,01,397,0.08682670900000011,257.0
efsll1,15,10,02,228,0.05305495800000015,220.0
efsll1,15,10,03,385,0.0687635000000002,253.0
efsll1,15,25,01,120695,0.9889589589999999,262.0
efsll1,15,25,02,743,0.13145062499999982,247.0
efsll1,15,25,03,1181,0.318154834,293.0
efsll1,15,50,01,392131,6.194111084000001,300.0
efsll1,15,50,02,385785,2.9045777079999997,281.0
efsll1,15,50,03,441604,6.264383041999999,296.0
efsll1,25,10,01,279,0.06411612499999819,299.0
efsll1,25,10,02,394,0.08237987500000088,296.0
efsll1,25,10,03,750,0.12035283399999841,317.0
efsll1,25,25,01,2282,0.4315049170000016,304.0
efsll1,25,25,02,146593,1.6815144579999988,317.0
efsll1,25,25,03,23441,0.7199397080000018,308.0
efsll1,25,50,01,97002,21.049512125,322.0
efsll1,25,50,02,2557,5.602165041999996,285.0
efsll1,25,50,03,149360,13.336918375000003,272.0
efsll1,35,10,01,10004,0.21944970799999908,326.0
efsll1,35,10,02,303,0.0728918329999999,302.0
efsll1,35,10,03,484,0.09833416699999731,262.0
efsll1,35,25,01,733,0.19385441699999717,314.0
efsll1,35,25,02,1849,0.33240916600000503,344.0
efsll1,35,25,03,815,0.18639108300000373,340.0
efsll1,35,50,01,7717,1.2348868750000008,359.0
efsll1,35,50,02,42459,9.136112499999996,307.0
efsll1,35,50,03,4509,2.1217409590000074,281.0
efsll1,45,10,01,218,0.08119304199999533,263.0
efsll1,45,10,02,295,0.08183758399999874,256.0
efsll1,45,10,03,260,0.07263466700000265,314.0
efsll1,45,25,01,933,0.4173694170000033,367.0
efsll1,45,25,02,1065,0.4537958330000009,350.0
efsll1,45,25,03,953,0.5050612499999971,302.0
efsll1,45,50,01,2797,2.091376083,314.0
efsll1,45,50,02,4319,4.064661166000008,305.0
efsll1,45,50,03,3963,1.591498417000011,304.0
efsll2,5,10,01,2,0.04117304199999694,135.0
efsll2,5,10,02,2,0.04416816700000936,125.0
efsll2,5,10,03,3,0.03038783399999545,151.0
efsll2,5,25,01,334,0.07991487500000005,150.0
efsll2,5,25,02,146,0.05083512500000609,168.0
efsll2,5,25,03,360,0.07140516699999466,174.0
efsll2,5,50,01,582,0.11840749999998934,183.0
efsll2,5,50,02,431,0.0896254170000077,143.0
efsll2,5,50,03,590,0.12322895899998798,185.0
efsll2,15,10,01,161,0.046053042000011146,257.0
efsll2,15,10,02,137,0.04951800000000617,220.0
efsll2,15,10,03,175,0.07489287499998909,253.0
efsll2,15,25,01,1292,0.25802320799999734,262.0
efsll2,15,25,02,607,0.107196916999996,247.0
efsll2,15,25,03,891,0.12154166700000246,293.0
efsll2,15,50,01,51817,1.5078989999999948,300.0
efsll2,15,50,02,59187,1.2791822920000016,281.0
efsll2,15,50,03,86404,1.6375764160000017,296.0
efsll2,25,10,01,195,0.058816292000003045,299.0
efsll2,25,10,02,261,0.0646955419999955,296.0
efsll2,25,10,03,416,0.08369416600000079,317.0
efsll2,25,25,01,1153,0.22932108299998788,304.0
efsll2,25,25,02,1925,0.31131683300000645,317.0
efsll2,25,25,03,1531,0.3246973750000137,308.0
efsll2,25,50,01,49765,22.542768084000002,322.0
efsll2,25,50,02,339,64.14378758400001,285.0
efsll2,25,50,03,20966,15.99910808300001,272.0
efsll2,35,10,01,331,0.09407070899999326,326.0
efsll2,35,10,02,372,0.0888014169999849,302.0
efsll2,35,10,03,292,0.08529137499999706,262.0
efsll2,35,25,01,724,0.9652677500000095,314.0
efsll2,35,25,02,1337,1.1115666669999769,344.0
efsll2,35,25,03,1520,0.741472041999998,340.0
efsll2,35,50,01,2111,2.7384674999999845,359.0
efsll2,35,50,02,1518,12.574530332999984,307.0
efsll2,35,50,03,3931,1.1173717499999896,281.0
efsll2,45,10,01,350,0.07881766699998138,263.0
efsll2,45,10,02,285,0.08023662499999773,256.0
efsll2,45,10,03,406,0.0903705000000059,314.0
efsll2,45,25,01,1096,2.1770071669999993,367.0
efsll2,45,25,02,742,3.4000122079999926,350.0
efsll2,45,25,03,743,0.4840515840000137,302.0
efsll2,45,50,01,1471,0.8860668339999904,314.0
efsll2,45,50,02,1714,2.6688994579999985,305.0
efsll2,45,50,03,2055,2.5362250420000123,304.0
