model,numitems,perc,instance,nodes,time,sol
efsll1,5,10,01,8,0.07710099999999998,216.0
efsll1,5,10,02,9,0.0583849580000001,234.0
efsll1,5,10,03,23,0.06210100000000007,273.0
efsll1,5,25,01,499,0.126269917,259.0
efsll1,5,25,02,26730,0.3591501669999999,269.0
efsll1,5,25,03,378,0.12575912499999986,223.0
efsll1,5,50,01,7760,0.2767035419999999,257.0
efsll1,5,50,02,13515,0.36840441599999996,256.0
efsll1,5,50,03,6174,0.20839154199999999,268.0
efsll1,15,10,01,804,0.1520896249999999,412.0
efsll1,15,10,02,655,0.1451612499999997,461.0
efsll1,15,10,03,811,0.17160350000000024,402.0
efsll1,15,25,01,229640,7.099348750000001,585.0
efsll1,15,25,02,4480477,43.842808833999996,466.0
efsll1,15,25,03,1245153,14.929601375000004,443.0
efsll1,15,50,01,21386802,375.2755365,488.0
efsll1,15,50,02,97313952,1317.934983042,455.0
efsll1,15,50,03,7751141,79.66981795799984,445.0
efsll1,25,10,01,39596,0.7753451249998307,527.0
efsll1,25,10,02,8519,0.49735804100009773,507.0
efsll1,25,10,03,97217,1.0275252500000533,419.0
efsll1,25,25,01,2775162,56.701435500000116,511.0
efsll1,25,25,02,592893,24.476931667000144,511.0
efsll1,25,25,03,12504078,204.49376679199986,490.0
efsll1,25,50,01,40688132,574.4817244579999,494.0
efsll1,25,50,02,5337447,133.69489462499996,556.0
efsll1,25,50,03,61551788,1240.4533192079998,528.0
efsll1,35,10,01,4271,0.5870055840000532,493.0
efsll1,35,10,02,184599,4.633273292000013,451.0
efsll1,35,10,03,108611,1.2928440840000803,496.0
efsll1,35,25,01,256652,13.122795124999811,497.0
efsll1,35,25,02,492828,13.577200167000228,594.0
efsll1,35,25,03,11428,14.596865999999864,562.0
efsll1,35,50,01,1474663,274.23443487500026,521.0
efsll1,35,50,02,934831,55.4830554579994,533.0
efsll1,35,50,03,53546,23.69437929200012,576.0
efsll1,45,10,01,61465,1.0370814580001024,477.0
efsll1,45,10,02,7456,0.5211311670000214,537.0
efsll1,45,10,03,2056,0.4178437499995198,515.0
efsll1,45,25,01,9360,6.453472000000147,508.0
efsll1,45,25,02,302153,9.957084790999943,504.0
efsll1,45,25,03,3154,5.080244916999618,497.0
efsll1,45,50,01,1186344,1844.8836029160002,570.0
efsll1,45,50,02,74246,297.23825545899945,537.0
efsll1,45,50,03,6930,3.312732707999203,546.0
efsll2,5,10,01,8,0.05032699999992474,216.0
efsll2,5,10,02,9,0.06770099999994272,234.0
efsll2,5,10,03,23,0.06861554199986131,273.0
efsll2,5,25,01,518,0.13262804099940695,259.0
efsll2,5,25,02,4108,0.2357365829993796,269.0
efsll2,5,25,03,429,0.12133558400000766,223.0
efsll2,5,50,01,586,0.19809429100041598,257.0
efsll2,5,50,02,7343,0.29635720799979026,256.0
efsll2,5,50,03,639,0.15234529200006364,268.0
efsll2,15,10,01,486,0.09455995799999073,412.0
efsll2,15,10,02,301,0.07824445799997193,461.0
efsll2,15,10,03,564,0.11986291699940921,402.0
efsll2,15,25,01,25180,0.6226333750000776,585.0
efsll2,15,25,02,89498,1.2480440409999574,466.0
efsll2,15,25,03,38239,1.0403466669995396,443.0
efsll2,15,50,01,379232,20.65320420900025,488.0
efsll2,15,50,02,1016014,33.95136137499958,455.0
efsll2,15,50,03,178598,10.001704125000288,445.0
efsll2,25,10,01,694,0.17393424999954732,527.0
efsll2,25,10,02,921,0.2333543329996246,507.0
efsll2,25,10,03,685,0.18563320900011604,419.0
efsll2,25,25,01,160059,2.899899375000132,511.0
efsll2,25,25,02,80417,2.5829151249999995,511.0
efsll2,25,25,03,209718,5.1515087500001755,490.0
efsll2,25,50,01,972551,38.36324845800027,494.0
efsll2,25,50,02,874700,63.82294441600061,556.0
efsll2,25,50,03,831905,26.375516041999617,528.0
efsll2,35,10,01,848,0.1828336250000575,493.0
efsll2,35,10,02,867,0.21801904200037825,451.0
efsll2,35,10,03,839,0.14857512500020675,496.0
efsll2,35,25,01,14304,1.8672075000004043,497.0
efsll2,35,25,02,4362,6.684385917000327,594.0
efsll2,35,25,03,3483,9.822169750000285,562.0
efsll2,35,50,01,1810936,758.8062983329992,521.0
efsll2,35,50,02,325018,28.5938210839995,533.0
efsll2,35,50,03,46464,23.43841487499958,576.0
efsll2,45,10,01,968,0.18221370899937028,477.0
efsll2,45,10,02,950,0.20127824999963195,537.0
efsll2,45,10,03,884,0.15652816700003314,515.0
efsll2,45,25,01,4041,31.794529499999953,508.0
efsll2,45,25,02,432007,32.717842167000526,504.0
efsll2,45,25,03,17,7.141386749999583,497.0
efsll2,45,50,01,2087966,116.8576517499996,570.0
efsll2,45,50,02,33398,13.097217375000582,537.0
efsll2,45,50,03,3394,2.851470542000243,546.0
